scenario,modulation,throughputMbps,payloadSE
single_satellite,QPSK,476.63955964606,1.93945133319523
single_satellite,16-QAM,953.279119292119,3.87890266639046
baseline_compensated,QPSK,476.63955964606,1.93945133319523
baseline_compensated,16-QAM,953.279119292119,3.87890266639046
no_compensation,QPSK,476.63955964606,1.93945133319523
no_compensation,16-QAM,953.279119292119,3.87890266639046
proposal,QPSK,101.201107600391,0.411788361004194
proposal,16-QAM,115.658408686161,0.470615269719078
