scenario,modulation,NR,NRdB,k,powerPolicy,BER,upper95,numErrors,numBits,numRealizations,throughputMbps,payloadSE,occupancyPct,boostDb,seed,sourceFile
no_compensation,QPSK,400,26.0205999132796,NaN,not_applicable,0.137191772460938,NaN,8991,65536,1,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,QPSK,400,26.0205999132796,7,boosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
single_satellite,QPSK,576,27.6042248342321,NaN,not_applicable,0,1.49383148517757e-07,0,20054016,306,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,QPSK,576,27.6042248342321,NaN,not_applicable,0,1.49786602454682e-07,0,20000000,306,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,QPSK,576,27.6042248342321,NaN,not_applicable,0.131271362304688,NaN,8603,65536,1,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,QPSK,576,27.6042248342321,7,boosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
single_satellite,16-QAM,64,18.0617997398389,NaN,not_applicable,0.154197692871094,NaN,101055,655360,5,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,16-QAM,64,18.0617997398389,NaN,not_applicable,0.104660034179688,NaN,13718,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,16-QAM,64,18.0617997398389,NaN,not_applicable,0.303520202636719,NaN,39783,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,16-QAM,64,18.0617997398389,4,boosted,0.00105794270833333,NaN,208,196608,6,115.658408686161,0.470615269719078,12.5,9.03089986991944,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\proposal_16qam\results\checkpoint_f_16qam_ber_montecarlo_boosted_results.mat
